id,rotulo,ADA,GRD,KNN,NB,RF,RL,SVM
1278,VERDADEIRO,1,1,1,1,1,1,1
1279,VERDADEIRO,1,1,1,1,1,1,1
1284,VERDADEIRO,1,1,1,1,1,1,1
1285,VERDADEIRO,1,1,1,1,1,1,1
1287,VERDADEIRO,1,1,1,1,1,1,1
1290,VERDADEIRO,1,1,1,1,1,1,1
1294,VERDADEIRO,1,1,1,1,1,1,1
1298,VERDADEIRO,1,1,1,1,1,1,1
1300,VERDADEIRO,1,1,1,1,1,1,1
1301,VERDADEIRO,1,1,1,1,1,0,1
1308,VERDADEIRO,1,1,1,1,1,1,1
1310,VERDADEIRO,1,1,1,1,1,1,1
1311,VERDADEIRO,1,1,1,1,1,1,1
1312,VERDADEIRO,1,1,1,1,1,1,1
1316,VERDADEIRO,1,1,1,1,1,1,1
1317,VERDADEIRO,1,1,0,1,1,1,1
1318,VERDADEIRO,1,1,1,1,1,1,1
1319,VERDADEIRO,1,1,1,1,1,1,1
1323,VERDADEIRO,1,1,1,1,1,1,1
1325,VERDADEIRO,1,1,0,0,1,1,1
1326,VERDADEIRO,1,1,1,1,1,0,1
1328,VERDADEIRO,1,1,1,1,1,1,1
1334,VERDADEIRO,1,1,1,1,1,1,1
1338,VERDADEIRO,1,1,1,1,1,1,1
1340,VERDADEIRO,1,1,1,1,1,1,1
1343,VERDADEIRO,1,1,1,1,1,1,1
1350,VERDADEIRO,1,1,1,1,1,1,1
1360,VERDADEIRO,1,1,1,1,1,1,1
1379,VERDADEIRO,1,1,1,1,1,1,1
1380,VERDADEIRO,1,1,1,1,1,1,1
1382,VERDADEIRO,1,1,1,1,1,1,1
1394,VERDADEIRO,1,1,1,1,1,1,1
1395,VERDADEIRO,1,1,0,1,1,0,0
1398,VERDADEIRO,1,1,1,1,1,1,0
1400,VERDADEIRO,1,1,1,1,1,1,1
1404,VERDADEIRO,1,1,1,1,1,1,1
1405,VERDADEIRO,1,1,1,1,1,1,1
1407,VERDADEIRO,1,1,1,1,1,1,1
1410,VERDADEIRO,1,1,1,1,1,1,0
1412,VERDADEIRO,1,1,1,1,1,1,1
1414,VERDADEIRO,1,1,1,1,1,1,1
1415,VERDADEIRO,1,1,1,1,1,1,1
1417,VERDADEIRO,1,1,1,1,1,1,1
1418,VERDADEIRO,1,1,1,1,1,1,0
1419,VERDADEIRO,1,1,1,1,1,1,1
1421,VERDADEIRO,1,1,1,1,1,1,1
1422,VERDADEIRO,1,1,1,1,1,1,1
1423,VERDADEIRO,1,1,1,1,1,1,1
1430,VERDADEIRO,1,1,1,1,1,1,1
1433,VERDADEIRO,1,1,1,1,1,1,1
1439,VERDADEIRO,1,1,0,1,1,1,1
1442,VERDADEIRO,1,1,0,1,1,1,1
1445,VERDADEIRO,1,1,1,1,1,1,1
1460,VERDADEIRO,1,1,1,1,1,1,1
1468,VERDADEIRO,1,1,1,1,1,1,0
1515,VERDADEIRO,1,1,1,1,1,0,0
1517,VERDADEIRO,1,1,0,1,1,1,0
1524,VERDADEIRO,1,1,1,1,1,1,1
1525,VERDADEIRO,1,1,1,1,1,1,1
1526,VERDADEIRO,1,1,1,1,1,1,1
1538,VERDADEIRO,1,1,1,1,1,1,1
1539,VERDADEIRO,1,1,0,1,1,1,1
1540,VERDADEIRO,1,1,1,1,1,1,1
1549,VERDADEIRO,1,1,1,1,1,1,1
1551,VERDADEIRO,1,1,1,1,1,1,1
1554,VERDADEIRO,1,1,1,1,1,1,1
1557,VERDADEIRO,1,1,1,1,1,1,1
1562,VERDADEIRO,1,1,1,0,1,0,1
1565,VERDADEIRO,1,1,1,1,1,1,1
1568,VERDADEIRO,1,1,1,1,1,1,1
1575,VERDADEIRO,1,1,0,1,1,1,1
1578,VERDADEIRO,1,1,1,1,1,1,1
1622,VERDADEIRO,1,1,1,1,1,1,1
1627,VERDADEIRO,1,1,1,1,1,1,1
1634,VERDADEIRO,1,1,1,1,1,1,1
1636,VERDADEIRO,1,1,1,1,1,0,1
1638,VERDADEIRO,1,1,1,1,1,1,1
1642,VERDADEIRO,1,1,1,1,1,1,1
1643,VERDADEIRO,1,1,1,1,1,1,1
1693,VERDADEIRO,1,1,1,1,1,1,1
1694,VERDADEIRO,1,1,1,1,1,1,1
1696,VERDADEIRO,1,1,1,1,1,0,0
1698,VERDADEIRO,1,1,1,1,1,1,1
1704,VERDADEIRO,1,1,0,1,1,0,0
1719,VERDADEIRO,1,1,1,1,1,1,1
1722,VERDADEIRO,1,1,1,1,1,1,1
1725,VERDADEIRO,1,1,1,1,1,1,1
1726,VERDADEIRO,1,1,1,1,1,1,1
1728,VERDADEIRO,1,1,1,1,1,1,1
1736,VERDADEIRO,0,0,0,1,0,0,0
1753,VERDADEIRO,1,1,1,1,1,1,1
1758,VERDADEIRO,1,1,1,1,1,1,1
1759,VERDADEIRO,1,1,1,1,1,1,1
1762,VERDADEIRO,1,1,1,1,1,1,1
1767,VERDADEIRO,1,1,1,1,1,1,1
1768,VERDADEIRO,1,1,1,1,1,1,1
1775,VERDADEIRO,1,1,1,1,1,1,1
1776,VERDADEIRO,1,1,0,1,1,0,1
1779,VERDADEIRO,1,1,0,1,1,0,1
1783,VERDADEIRO,1,1,1,1,1,0,0
1786,VERDADEIRO,1,1,1,1,1,1,1
1793,VERDADEIRO,1,1,1,1,1,1,1
1813,VERDADEIRO,1,1,1,1,1,1,1
1814,VERDADEIRO,1,1,1,1,1,1,1
1815,VERDADEIRO,1,1,1,1,1,1,1
1816,VERDADEIRO,1,1,1,1,1,1,1
1817,VERDADEIRO,1,1,1,1,1,1,1
1832,VERDADEIRO,1,1,1,1,1,1,1
1840,VERDADEIRO,1,1,1,1,1,1,1
1848,VERDADEIRO,1,1,1,1,1,1,1
1849,VERDADEIRO,1,1,1,1,1,0,0
1850,VERDADEIRO,1,1,1,1,1,1,1
1857,VERDADEIRO,1,1,1,1,1,1,1
1863,VERDADEIRO,1,1,0,1,1,1,1
1878,VERDADEIRO,1,1,1,1,1,1,1
1882,VERDADEIRO,1,1,1,1,1,1,1
1883,VERDADEIRO,1,1,0,1,1,0,1
1889,VERDADEIRO,1,1,1,1,1,1,1
1890,VERDADEIRO,1,1,1,1,1,1,1
1891,VERDADEIRO,1,1,1,1,1,1,1
1896,VERDADEIRO,1,1,1,1,1,1,1
1901,VERDADEIRO,1,1,1,1,1,1,1
1926,VERDADEIRO,1,1,1,1,1,1,1
1933,VERDADEIRO,1,1,1,1,1,1,1
1935,VERDADEIRO,1,1,1,1,1,1,1
1957,VERDADEIRO,1,1,0,0,1,0,0
1961,VERDADEIRO,1,1,1,1,1,1,1
1963,VERDADEIRO,1,1,1,1,1,1,1
1965,VERDADEIRO,1,1,1,1,1,1,1
1966,VERDADEIRO,1,1,1,1,1,1,1
1978,VERDADEIRO,1,1,1,1,1,1,1
2005,VERDADEIRO,1,1,1,1,1,1,1
2015,VERDADEIRO,1,1,1,1,1,1,1
2022,VERDADEIRO,1,1,1,1,1,1,1
2023,VERDADEIRO,1,1,1,1,1,1,1
2033,VERDADEIRO,1,1,1,1,1,1,1
2036,VERDADEIRO,0,0,0,0,0,0,0
2040,VERDADEIRO,1,1,1,1,1,1,1
2043,VERDADEIRO,1,1,1,1,1,1,1
2050,VERDADEIRO,1,1,1,1,1,0,0
2074,VERDADEIRO,1,1,1,1,1,1,1
2079,VERDADEIRO,1,1,1,1,1,1,1
2087,VERDADEIRO,1,1,1,1,1,1,1
2091,VERDADEIRO,1,1,1,1,1,0,0
2093,VERDADEIRO,1,1,1,1,1,1,1
2103,VERDADEIRO,1,1,1,1,1,1,1
2107,VERDADEIRO,1,1,1,1,1,0,0
2114,VERDADEIRO,1,0,0,0,0,0,0
2132,VERDADEIRO,1,1,1,1,1,1,1
2159,VERDADEIRO,1,1,1,1,1,1,1
2160,VERDADEIRO,1,1,0,1,1,1,1
2166,VERDADEIRO,1,1,1,1,1,1,1
2171,VERDADEIRO,1,1,1,1,1,0,1
2180,VERDADEIRO,1,1,1,1,1,1,1
2184,VERDADEIRO,1,1,1,1,1,1,1
2197,VERDADEIRO,1,1,1,1,1,1,1
2204,VERDADEIRO,1,1,1,1,1,1,1
2219,VERDADEIRO,1,1,1,1,1,1,1
2222,VERDADEIRO,1,1,1,1,1,1,1
2223,VERDADEIRO,1,1,0,0,1,0,1
2225,VERDADEIRO,1,1,1,1,1,1,1
2226,VERDADEIRO,1,1,1,1,1,1,1
2231,VERDADEIRO,1,1,0,1,1,1,1
2232,VERDADEIRO,1,1,1,1,1,1,1
2234,VERDADEIRO,1,1,1,1,1,1,1
2238,VERDADEIRO,1,1,1,1,1,1,1
2244,VERDADEIRO,1,1,1,1,1,0,0
2247,VERDADEIRO,1,1,1,1,1,1,1
2250,VERDADEIRO,1,1,1,1,1,1,1
2257,VERDADEIRO,1,1,1,1,1,1,1
2258,VERDADEIRO,1,1,1,1,1,0,1
2273,VERDADEIRO,1,1,0,1,1,0,0
2277,VERDADEIRO,1,1,0,1,1,1,1
2303,VERDADEIRO,1,1,1,1,0,1,1
2306,VERDADEIRO,1,1,0,1,1,0,0
312,VERDADEIRO,1,1,1,1,1,0,1
