id,rotulo,texto,texto_pt
1013,FALSO,a man in a suit and tie standing next to another man . a man in a suit and tie standing next to a woman . a man in a suit and tie holding a microphone .,Um homem de terno e gravata parado ao lado de outro homem. Um homem de terno e gravata de pé ao lado de uma mulher. Um homem de terno e gravata segurando um microfone
310,FALSO,a man in a suit and tie holding a microphone . a man in a suit and tie holding a microphone a man in a suit and tie standing in front of a microphone .,"Um homem de terno e gravata segurando um microfone. um homem de terno e gravata segurando um microfone, um homem de terno e gravata de pé na frente de um microfone"
1046,FALSO,a close up of a small plane on a runway a close up of a small plane on a run way a close up of a small plane on a city street,a close up of a small plane on a runway a close up of a small plane on a run way a close up of a small plane on a city street
722,FALSO,a man standing on the side of a road next to a fire hydrant . a man standing on the side of a road with a fire hydrant . a man standing on the side of the road with a fire hydrant .,um homem parado ao lado de uma estrada perto de um hidrante. um homem parado no acostamento com um hidrante. um homem parado na beira da estrada com um hidrante
106,FALSO,a man riding a wave on top of a surfboard . a man riding a surfboard on top of a wave . a man riding a surfboard on top of a river .,Um homem montando uma onda em cima de uma prancha de surfe. um homem montando uma prancha de surfe no topo de uma onda. um homem montando uma prancha de surfe no topo de um rio
556,FALSO,a group of people standing next to each other . a group of people standing next to each other in a room . a group of people standing next to each other in front of a tv .,um grupo de pessoas de pé lado a lado. um grupo de pessoas de pé ao lado uma da outra em uma sala. um grupo de pessoas paradas lado a lado na frente de uma tv
974,FALSO,a man sitting at a table with a laptop computer . a man sitting at a table in front of a laptop computer . a man sitting at a table with a box of donuts .,um homem sentado a uma mesa com um laptop. um homem sentado à mesa em frente a um laptop. um homem sentado a uma mesa com uma caixa de rosquinhas
74,FALSO,a man is holding a bunch of bananas . a man is holding a bunch of bananas a man holding a bunch of ripe bananas .,Um homem está segurando um monte de bananas. um homem está segurando um monte de bananas um homem segurando um monte de bananas maduras
157,FALSO,a close up of a statue of an elephant a close up of a statue of a cow a close up of a statue of a elephant,a close up of a statue of an elephant a close up of a statue of a cow a close up of a statue of a elephant
301,FALSO,a close up of a box of doughnuts a close up of a box of doughnuts with sprinkles a close up of a cake with a train on it,um close de uma caixa de rosquinhas perto de uma caixa de rosquinhas com bolo em cima com um trem
570,FALSO,a man in a suit and tie posing for a picture . a man in a suit and tie posing for a picture a man in a suit and tie posing for a photo .,Um homem de terno e gravata posando para uma foto. um homem de terno e gravata posando para uma foto um homem de terno e gravata posando para uma foto
63,FALSO,a group of people standing next to each other . a group of people standing next to each other on a table . a group of people standing next to each other on a street .,um grupo de pessoas de pé lado a lado. um grupo de pessoas de pé ao lado uma da outra em uma mesa. um grupo de pessoas de pé lado a lado em uma rua
1679,FALSO,a couple of men standing next to each other . a couple of men standing next to each other in a room . a man in a suit and tie standing next to a woman .,Um par de homens de pé perto um do outro. Um par de homens de pé ao lado um do outro em uma sala. Um homem de terno e gravata de pé ao lado de uma mulher
634,FALSO,a group of people sitting around a living room . a group of people sitting around a living room together . a group of people sitting around a living room together,Um grupo de pessoas sentadas em torno de uma sala de estar. um grupo de pessoas sentadas ao redor de uma sala de estar juntas. um grupo de pessoas sentadas ao redor de uma sala de estar juntas
609,FALSO,a group of young children standing next to each other . a group of children are posing for a picture . a group of children pose for a picture together .,um grupo de crianças pequenas em pé ao lado uma da outra. um grupo de crianças estão posando para uma foto. um grupo de crianças posam para uma foto juntos
80,FALSO,a group of people standing around a parking lot . a group of people walking down a street next to cars . a group of people walking down a street next to tall buildings .,Um grupo de pessoas parado em torno de um estacionamento. Um grupo de pessoas andando por uma rua ao lado de carros. Um grupo de pessoas andando por uma rua perto de prédios altos
94,FALSO,a close up of a tv with a clock a close up of a tv with a clock on it a close up of a television screen with a clock,um close-up de uma tv com um relógio a close-up de uma tv com um relógio sobre ele um close de uma tela de televisão com um relógio
875,FALSO,a boat is docked in the water near a dock . a boat is docked in the water near a city . a boat is docked in the water near a pier .,Um barco está atracado na água perto do cais. um barco está atracado na água perto de uma cidade. Um barco está atracado na água perto do píer
993,FALSO,a large building with a clock on the front . a tall building with a clock on it a large building with a clock on the front of it .,Um grande prédio com um relógio na frente. um prédio alto com um relógio em cima um grande edifício com um relógio na frente
103,FALSO,a close up of a stop sign with stickers on it a close up of a stop sign with a sticker on it a close up of a stop sign with stickers,"a close-up de uma placa de parar com adesivos em um close-up de uma placa de parar com um adesivo em cima, um close de um sinal de parar com adesivos"
83,FALSO,a man in a suit and tie holding a cell phone . a man in a suit and tie is smiling a man in a suit and tie looking at his cell phone .,"Um homem de terno e gravata segurando um celular. um homem de terno e gravata está sorrindo, um homem de terno e gravata olhando para seu celular"
1104,FALSO,a red stop sign sitting on the side of a road . a red stop sign sitting on top of a metal pole . a red stop sign sitting on the side of a street .,Um sinal de parada vermelha sentado no lado de uma estrada. Um sinal de parada vermelha sentado em cima de um poste de metal. Uma placa vermelha de parada sentada no lado de uma rua
2072,FALSO,a stop sign with a sign on it . a stop sign with a sign on it a sign that says `` <UNK> '' on a street sign .,Um sinal de parada com um sinal nela. um sinal de parada com um cartaz escrito com um aviso dizendo Faça a busca do UNK '' em um sinal de rua
1210,FALSO,a collage of photos of a computer and a keyboard a collage of photos with a clock and a book a collage of photos of a computer and a keyboard .,"uma colagem de fotos de um computador e um teclado, uma colagem de fotos com um relógio e um livro, uma colagem de fotos de um computador e um teclado"
583,FALSO,a group of people standing next to each other . a group of men standing next to each other . a group of people standing next to each other in a field .,um grupo de pessoas de pé lado a lado. um grupo de homens de pé ao lado um do outro. um grupo de pessoas de pé lado a lado em um campo
49,FALSO,a picture of a sign that says `` <UNK> '' . a picture of a sign that says `` <UNK> '' a picture of a sign that says `` <UNK> <UNK> '' .,a picture of a sign that says & UNK> ''. a picture of a sign that says & UNK> '' a picture of a sign that says `UNK & UNK> ''
1180,FALSO,a horse walking down a street next to a car . a horse walking down the street in front of a car . a horse walking down the street in front of a car,Um cavalo andando pela rua ao lado de um carro. um cavalo andando pela rua na frente de um carro. um cavalo andando pela rua na frente de um carro
131,FALSO,a woman sitting on a bench with her legs crossed . a woman sitting on a bench with a cell phone . a woman sitting on a bench with her feet up .,uma mulher sentada em um banco com as pernas cruzadas. uma mulher sentada em um banco com um telefone celular. uma mulher sentada em um banco com os pés para cima
952,FALSO,a woman sitting on top of a bed . a woman sitting on top of a bed with a blue blanket . a woman sitting on top of a bed with a white blanket .,Uma mulher sentada em cima de uma cama. Uma mulher sentada em cima de uma cama com um cobertor azul. Uma mulher sentada em cima de uma cama com um cobertor branco
588,FALSO,a man in a suit and tie standing in a room . a man in a suit and tie standing in front of a microphone . a man in a suit and tie standing in a room,Um homem de terno e gravata parado em um quarto. Um homem de terno e gravata de pé na frente de um microfone. Um homem de terno e gravata parado em um quarto
44,FALSO,two men standing next to each other holding tennis racquets . a man and a woman standing next to each other . two men standing next to each other holding tennis rackets .,dois homens de pé lado a lado segurando raquetes de tênis. Um homem e uma mulher de pé ao lado um do outro. dois homens de pé perto um do outro segurando raquetes de tênis
1187,FALSO,a group of people sitting around a table . a group of people sitting around a table with food . a group of people sitting around a table with plates of food .,um grupo de pessoas sentadas ao redor de uma mesa. um grupo de pessoas sentadas ao redor de uma mesa com comida. um grupo de pessoas sentadas ao redor de uma mesa com pratos de comida
1110,FALSO,a white plate topped with a pastry next to a cup of coffee . a white plate topped with a chocolate covered donut . a white plate topped with a pastry and a cup of coffee .,um prato branco encimado com uma massa ao lado de uma xícara de café. Um prato branco coberto com um donut coberto de chocolate. um prato branco encimado com uma massa e uma xícara de café
1230,FALSO,a group of people standing next to each other . a group of people standing next to each other in front of a building . a group of people standing next to each other in a room .,um grupo de pessoas de pé lado a lado. um grupo de pessoas de pé lado a lado na frente de um prédio. um grupo de pessoas de pé ao lado uma da outra em uma sala
758,FALSO,a man holding a tennis racket in his hand . a man holding a tennis racket in his hands . a man holding a tennis racket in his hand,Um homem segurando uma raquete de tênis na mão. Um homem segurando uma raquete de tênis nas mãos. Um homem segurando uma raquete de tênis na mão
849,FALSO,a man and a woman standing next to each other . a man and a woman are standing next to each other . a man and a woman in a wedding dress,Um homem e uma mulher de pé ao lado um do outro. um homem e uma mulher estão em pé ao lado um do outro. um homem e uma mulher em um vestido de casamento
2149,FALSO,a man standing in a kitchen preparing food . a man standing in a kitchen next to a sink . a man standing in a kitchen next to a counter .,um homem parado na cozinha preparando comida. Um homem parado na cozinha perto da pia. um homem parado na cozinha ao lado de um balcão
1234,FALSO,a man in a suit and tie holding a microphone . a man in a suit and tie standing in front of a microphone . a man in a suit and tie holding a microphone,Um homem de terno e gravata segurando um microfone. Um homem de terno e gravata de pé na frente de um microfone. Um homem de terno e gravata segurando um microfone
86,FALSO,a man is holding a box of doughnuts . a man is holding a box of donuts . a man is holding a box of doughnuts,um homem está segurando uma caixa de rosquinhas. um homem está segurando uma caixa de rosquinhas. um homem está segurando uma caixa de rosquinhas
158,FALSO,a group of people standing around a cow . a group of people standing next to a cow . a man standing next to a cow in a pen .,um grupo de pessoas de pé ao redor de uma vaca. um grupo de pessoas paradas ao lado de uma vaca. Um homem de pé ao lado de uma vaca em uma caneta
708,FALSO,a young girl wearing a hat and sunglasses . a woman wearing a hat and a hat . a young girl wearing a hat and a hat .,uma jovem usando chapéu e óculos escuros. Uma mulher usando chapéu e chapéu. uma jovem garota usando chapéu e chapéu
162,FALSO,a man in a suit and tie holding a microphone . a man in a suit and tie holding a microphone a man in a suit and tie holding a cell phone .,"Um homem de terno e gravata segurando um microfone. Um homem de terno e gravata segurando um microfone, um homem de terno e gravata segurando um celular"
1667,FALSO,a close up of a flower in a vase a close up of a vase with flowers in it a close up of a flower in a vase on a table,a close up of a flower in a vase a close up of a vase with flowers in it a close of a flower in a vase on a table
181,FALSO,a close up of a keyboard and a mouse a close up of a keyboard and a monitor a close up of a baseball player with a bat,um perto de um teclado e um mouse um perto de um teclado e um monitor um close de um jogador de beisebol com um taco
185,FALSO,a group of men standing next to each other . a group of men standing next to each other in a field . a black and white photo of a group of people,um grupo de homens de pé ao lado um do outro. Um grupo de homens de pé ao lado um do outro em um campo. uma foto em preto e branco de um grupo de pessoas
194,FALSO,a group of men standing next to each other . a group of people standing next to each other . a group of men standing next to each other in a room .,um grupo de homens de pé ao lado um do outro. um grupo de pessoas de pé lado a lado. um grupo de homens de pé ao lado um do outro em uma sala
198,FALSO,a couple of signs that are on a pole . a couple of signs that are on a pole a couple of signs that are on top of a pole .,Um par de sinais que estão em um poste. Um par de sinais que estão em um poste um par de sinais que estão em cima de um poste
1921,FALSO,a group of people standing in a room . a group of people standing in a room next to a bed . a group of people standing in a room with luggage .,um grupo de pessoas de pé em uma sala. um grupo de pessoas de pé em um quarto ao lado de uma cama. um grupo de pessoas de pé em um quarto com bagagem
663,FALSO,a row of surfboards sitting on top of a table . a bunch of surfboards that are on a table . a row of surfboards sitting on top of a rack .,Uma fileira de pranchetas sobre uma mesa. Um monte de pranchetas de surfe em uma mesa. Uma fileira de pranchetas sobre um rack
873,FALSO,a group of people standing on top of a tennis court . a group of people walking down a street . a group of people standing on top of a snow covered slope .,um grupo de pessoas de pé no topo de uma quadra de tênis. Um grupo de pessoas andando pela rua. Um grupo de pessoas de pé em cima de uma encosta coberta de neve
1128,VERDADEIRO,a city street filled with lots of traffic . a city street filled with lots of traffic next to tall buildings . a city street filled with lots of traffic and traffic .,uma rua da cidade cheia de muito trânsito. uma rua da cidade cheia de muito tráfego perto de prédios altos. uma rua da cidade cheia de tráfego e tráfego
1218,VERDADEIRO,a pair of scissors sitting on top of a table . a close up of a pair of scissors a close up of a pair of scissors on a table,uma tesoura pousada em cima de uma mesa. uma tesoura bem em cima de uma mesa
1245,VERDADEIRO,a collage of photos of a person holding a cell phone a collage of photos of a man holding a cell phone a collage of photos of a man holding a cell phone .,uma colagem de fotos de uma pessoa segurando um celular uma colagem de fotos de um homem segurando um celular uma colagem de fotos de um homem segurando um celular
1247,VERDADEIRO,a pair of scissors sitting on top of a table . a close up of a pair of scissors on a table a pair of scissors sitting on a table,"uma tesoura pousada em cima de uma mesa. uma tesoura em cima de uma mesa, uma tesoura em cima de uma mesa"
1251,VERDADEIRO,a close up of a nintendo wii remote a close up of a nintendo wii remote control a close up of a nintendo wii controller,a close up of a nintendo wii remota um close-up de um nintendo wii controle remoto um close-up de um nintendo wii
1253,VERDADEIRO,a person holding a cell phone in their hand . a person holding a cell phone in their hand a person holding a cell phone in their hands .,Uma pessoa segurando um celular em suas mãos. Uma pessoa segurando um celular em suas mãos uma pessoa segurando um celular em suas mãos
1254,VERDADEIRO,a close up of a pair of scissors a close up of a person holding a pair of scissors a close up of a person holding a tennis racket,um par de tesouras bem perto de uma pessoa segurando uma tesoura perto de uma pessoa segurando uma raquete de tênis.
1257,VERDADEIRO,a close up of a stop sign with a sky background a close up of a street sign with a sky background a close up of a stop sign with a sticker on it,a close-up de um sinal de pare com um fundo do céu um ponteiro de uma placa de rua com um fundo de céu próximo de um sinal de parada com um adesivo sobre ele
1263,VERDADEIRO,a close up of a street sign with a sky background a close up of a street sign on a pole a close up of a street sign with trees in the background,a close up de uma placa de rua com um céu fundo perto de uma placa de rua em um poste de uma placa de rua com árvores ao fundo
1264,VERDADEIRO,a close up of a person holding a wii remote a close up of a person holding a nintendo wii remote a close up of a person holding a white frisbee,um close-up de uma pessoa segurando um wii controle remoto um perto de uma pessoa segurando um wii Nintendo remota um perto de uma pessoa segurando um frisbee branco
1265,VERDADEIRO,a close up of a person holding a cell phone a close up of a nintendo wii remote a close up of a nintendo wii game controller,a close-up de uma pessoa segurando um celular um perto de um nintendo wii remota um close-up de um nintendo wii controle de jogo
1267,VERDADEIRO,a woman in a blue shirt is holding a white frisbee a woman in a blue shirt is holding a blue and white tie a woman in a blue shirt is holding a white and blue tie,"uma mulher de camisa azul está segurando um frisbee branco, uma mulher de camisa azul, segurando uma gravata azul e branca que uma mulher de camisa azul está segurando uma gravata branca e azul"
1272,VERDADEIRO,a laptop computer sitting on top of a desk . a laptop computer sitting on top of a wooden desk . a laptop computer sitting on top of a table .,um laptop sentado em cima de uma mesa. um laptop sentado em cima de uma mesa de madeira. um laptop sentado em cima de uma mesa
1274,VERDADEIRO,a red stop sign sitting on the side of a road . a stop sign with a sticker on it a red stop sign sitting on top of a metal pole .,Um sinal de parada vermelha sentado no lado de uma estrada. Um sinal de parada com um adesivo em cima um sinal vermelho de parada em cima de um poste de metal
1276,VERDADEIRO,a red stop sign sitting on the side of a road . a red stop sign sitting on top of a metal pole . a red stop sign sitting on top of a snow covered street .,Um sinal de parada vermelha sentado no lado de uma estrada. Um sinal de parada vermelha sentado em cima de um poste de metal. Uma placa vermelha de parada sentada no topo de uma rua coberta de neve
1278,VERDADEIRO,a close up of a person holding a cell phone a close up of a person holding a pair of scissors a close up of a stop sign with a sky background,um close de uma pessoa segurando um telefone celular um close-up de uma pessoa segurando um par de tesouras perto de um sinal de parada com fundo de céu
1279,VERDADEIRO,a collage of photos of a man holding a frisbee . a collage of photos of a man holding a frisbee a group of people standing around a table with a laptop .,uma colagem de fotos de um homem segurando um frisbee. uma colagem de fotos de um homem segurando um frisbee um grupo de pessoas ao redor de uma mesa com um laptop
1284,VERDADEIRO,a group of people sitting around a table . a group of people sitting around a table eating food . a group of people sitting around a table with food .,um grupo de pessoas sentadas ao redor de uma mesa. um grupo de pessoas sentadas ao redor de uma mesa comendo comida. um grupo de pessoas sentadas ao redor de uma mesa com comida
1285,VERDADEIRO,a woman is holding a cell phone in her hand . a woman in a white shirt is holding a cellphone a woman is holding a cell phone in her hand,uma mulher está segurando um celular em sua mão. uma mulher de camisa branca está segurando um celular uma mulher está segurando um celular na mão
1287,VERDADEIRO,a close up of a person holding a nintendo wii remote a close up of a tooth brush on a table a close up of a person holding a remote,um perto de uma pessoa segurando um Nintendo wii remota um perto de um pincel dentário em uma mesa perto de uma pessoa segurando um controle remoto
1290,VERDADEIRO,a group of people standing in a kitchen . a group of people standing in a kitchen preparing food . a group of people standing around a kitchen .,um grupo de pessoas de pé em uma cozinha. um grupo de pessoas na cozinha preparando comida. um grupo de pessoas em volta de uma cozinha
1294,VERDADEIRO,a man in a suit and tie holding a glass of wine . a man in a suit and tie holding a drink . a man in a suit and tie holding a drink,Um homem de terno e gravata segurando um copo de vinho. Um homem de terno e gravata segurando um drink. Um homem de terno e gravata segurando um drink
1298,VERDADEIRO,a man in a white shirt is holding a snowboard a man in a white shirt and tie standing in a room . a man in a white shirt is holding a snowboard .,um homem de camisa branca está segurando um snowboard um homem de camisa branca e gravata em pé em um quarto. Um homem de camisa branca está segurando uma prancha de neve
1300,VERDADEIRO,a man in a suit and tie is smiling . a man in a suit and tie looking at the camera . a man in a suit and tie looking at the camera,Um homem de terno e gravata está sorrindo. Um homem de terno e gravata olhando para a câmera. Um homem de terno e gravata olhando para a câmera
1301,VERDADEIRO,a man sitting at a table with a laptop . a man sitting at a table with a laptop computer . a person sitting at a table with a laptop,um homem sentado a uma mesa com um laptop. um homem sentado a uma mesa com um laptop. Uma pessoa sentada à mesa com um laptop
1308,VERDADEIRO,a young boy is playing with a ball on the sidewalk . a young boy is playing with a ball on a sidewalk . a young boy is playing with a ball in a park .,Um garoto está brincando com uma bola na calçada. um jovem garoto está brincando com uma bola na calçada. um jovem garoto está brincando com uma bola em um parque
1310,VERDADEIRO,a large clock on the side of a building . a large building with a clock on it a large clock on the side of a tall building .,um grande relógio no lado de um prédio. um grande prédio com um relógio em cima um grande relógio na lateral de um prédio alto
1311,VERDADEIRO,a woman in a white shirt and a red tie a woman in a white shirt and black tie a woman in a white shirt and a black tie,uma mulher de camisa branca e gravata vermelha uma mulher de camisa branca e gravata preta uma mulher de camisa branca e gravata preta
1312,VERDADEIRO,a group of people standing outside of a building . a group of people standing in front of a building . a group of people standing in front of a tall building .,um grupo de pessoas do lado de fora de um prédio. um grupo de pessoas de pé na frente de um prédio. um grupo de pessoas de pé na frente de um prédio alto
1316,VERDADEIRO,a person cutting a cake with a knife . a man cutting a cake with a knife . a person cutting a cake with a knife,uma pessoa cortando um bolo com uma faca. um homem cortando um bolo com uma faca. uma pessoa cortando um bolo com uma faca
1317,VERDADEIRO,a little girl sitting in front of a laptop computer . a little girl sitting at a table with a laptop . a little girl sitting at a desk with a laptop .,uma garotinha sentada na frente de um laptop. uma garotinha sentada à mesa com um laptop. uma garotinha sentada em uma mesa com um laptop
1318,VERDADEIRO,a group of people standing around a kitchen . a group of people standing around a table . a group of people standing around a table with food .,um grupo de pessoas em volta de uma cozinha. um grupo de pessoas ao redor de uma mesa. um grupo de pessoas ao redor de uma mesa com comida
1319,VERDADEIRO,a large building with a large clock tower . a large building with a clock tower on top of it . a large building with a clock tower on top .,um grande prédio com uma grande torre de relógio. Um grande prédio com uma torre de relógio em cima. um grande prédio com uma torre de relógio no topo
1323,VERDADEIRO,a person holding a cell phone in their hand . a woman holding a cell phone in her hand . a person holding a cell phone in their hands .,Uma pessoa segurando um celular em suas mãos. Uma mulher segurando um celular na mão. Uma pessoa segurando um celular em suas mãos
1325,VERDADEIRO,a man in a suit and tie is smiling . a man in a suit and tie is smiling a man in a suit and tie standing in a room .,"Um homem de terno e gravata está sorrindo. Um homem de terno e gravata sorri, um homem de terno e gravata de pé em um quarto"
1326,VERDADEIRO,a collage of photos of a man holding a frisbee . a collage of photos of a person holding a frisbee a collage of photos of a man holding a frisbee,"uma colagem de fotos de um homem segurando um frisbee. uma colagem de fotos de uma pessoa segurando um frisbee, uma colagem de fotos de um homem segurando um frisbee"
1328,VERDADEIRO,a building with a clock on the side of it a building with a clock on the side of it . a building with a large clock on the side of it .,um prédio com um relógio na lateral de um prédio com um relógio na lateral. Um prédio com um grande relógio na lateral
1334,VERDADEIRO,a large jetliner sitting on top of an airport runway . a large jetliner sitting on top of an airport tarmac . a large passenger jet sitting on top of an airport runway .,Um grande jato sentado em cima de uma passarela de aeroporto. Um grande Delineador sentado em cima de um aeroporto. Um grande jato passageiro sentado no topo de uma passarela de aeroporto
1338,VERDADEIRO,a laptop computer sitting on top of a table . a laptop computer sitting on top of a box . a laptop computer sitting on top of a wooden table .,um laptop sentado em cima de uma mesa. Um laptop colocado em cima de uma caixa. um laptop sentado em cima de uma mesa de madeira
1340,VERDADEIRO,a man in a suit and tie is smiling . a man in a suit and tie standing in a room . a man in a suit and tie is smiling,Um homem de terno e gravata está sorrindo. Um homem de terno e gravata parado em um quarto. Um homem de terno e gravata está sorrindo
1343,VERDADEIRO,a person holding a cell phone in their hand . a person holding a cell phone in their hands . a person holding a cell phone in their hand,Uma pessoa segurando um celular em suas mãos. Uma pessoa segurando um celular em suas mãos. Uma pessoa segurando um celular em suas mãos
1350,VERDADEIRO,a man in a suit and tie is smiling . a man in a suit and tie standing in a room . a man in a suit and tie is smiling,Um homem de terno e gravata está sorrindo. Um homem de terno e gravata parado em um quarto. Um homem de terno e gravata está sorrindo
1360,VERDADEIRO,a group of people standing on top of a lush green field . a group of people standing on a lush green field . a group of people standing on top of a grass covered field .,Um grupo de pessoas no topo de um campo verde exuberante. Um grupo de pessoas de pé em um campo verde exuberante. Um grupo de pessoas de pé em cima de um campo coberto de grama
1379,VERDADEIRO,a man and a woman sitting at a table with plates of food . a man and a woman sitting at a table with a plate of food . a man and a woman are sitting at a table with a cake .,um homem e uma mulher sentados a uma mesa com pratos de comida. um homem e uma mulher sentados a uma mesa com um prato de comida. um homem e uma mulher estão sentados em uma mesa com um bolo
1380,VERDADEIRO,a woman sitting on a bench in the street . a woman sitting on a bench in front of a building . a woman sitting on a bench in the street,Uma mulher sentada em um banco na rua. Uma mulher sentada em um banco na frente de um prédio. Uma mulher sentada em um banco na rua
1382,VERDADEIRO,a woman is sitting on the ground with a stuffed animal . a woman is sitting on the floor with a stuffed animal . a woman is sitting on the ground with a stuffed animal,uma mulher está sentada no chão com um animal de pelúcia. uma mulher está sentada no chão com um animal de pelúcia. uma mulher está sentada no chão com um animal de pelúcia
1394,VERDADEIRO,a book and a book on a table . a book is sitting on top of a book . a book is sitting on top of a book,um livro e um livro sobre uma mesa. um livro está sobre um livro. um livro está sobre um livro
1395,VERDADEIRO,a man in a suit and tie is smiling . a man in a suit and tie standing in a room . a man in a suit and tie is smiling,Um homem de terno e gravata está sorrindo. Um homem de terno e gravata parado em um quarto. Um homem de terno e gravata está sorrindo
1398,VERDADEIRO,a man sitting in front of a laptop computer . a man sitting at a table with a laptop . a man sitting at a table with a laptop computer .,um homem sentado na frente de um laptop. um homem sentado a uma mesa com um laptop. um homem sentado a uma mesa com um laptop
1400,VERDADEIRO,a person holding a cell phone in their hand . a book is sitting on top of a book . a book is sitting on top of a book,Uma pessoa segurando um celular em suas mãos. um livro está sobre um livro. um livro está sobre um livro
1404,VERDADEIRO,a woman holding a wii remote in her hands . a woman holding a wii remote in her hand . a woman holding a wii remote in her hands,Uma mulher segurando um remoto wii em suas mãos. Uma mulher segurando um remoto wii em sua mão. Uma mulher segurando um remoto wii em suas mãos
1405,VERDADEIRO,a man in a suit and tie standing in front of a microphone . a man in a suit and tie looking at the camera . a man in a suit and tie looking at the camera,Um homem de terno e gravata de pé na frente de um microfone. Um homem de terno e gravata olhando para a câmera. Um homem de terno e gravata olhando para a câmera
1407,VERDADEIRO,a group of people standing next to each other . a group of people standing next to each other on a snow covered slope . a group of people standing next to each other in front of a building .,um grupo de pessoas de pé lado a lado. um grupo de pessoas de pé perto um do outro em uma encosta coberta de neve. um grupo de pessoas de pé lado a lado na frente de um prédio
1410,VERDADEIRO,a kitchen with a table and chairs in it a kitchen with a lot of chairs and a table a kitchen with a table and chairs and a table,uma cozinha com uma mesa e cadeiras em uma cozinha com muitas cadeiras e uma mesa uma cozinha com uma mesa e cadeiras e uma mesa
1412,VERDADEIRO,a group of people sitting around a table . a group of people sitting around a table with laptops . a group of people sitting at a table with laptops .,um grupo de pessoas sentadas ao redor de uma mesa. um grupo de pessoas sentadas ao redor de uma mesa com laptops. um grupo de pessoas sentadas em uma mesa com laptops
1414,VERDADEIRO,a man standing in front of a building with a sign . a man standing next to a tree with a bunch of bananas on it . a man standing next to a tree with a bunch of bananas .,Um homem parado na frente de um prédio com um sinal. De pé ao lado de uma árvore com um monte de bananas. De pé ao lado de uma árvore com um monte de bananas
1415,VERDADEIRO,a man riding a skateboard down a street . a man riding a skateboard down the side of a street . a man riding a skateboard down the side of a road .,um homem andando de skate em uma rua. um homem andando de skate em uma rua. um homem montando um skate em uma estrada
1417,VERDADEIRO,a large group of people standing around a large building . a large group of people standing around a large building a large group of people are gathered around a large tree .,"um grande grupo de pessoas de pé em torno de um grande prédio. um grande grupo de pessoas, de pé em torno de um grande prédio, um grande grupo de pessoas está reunido em torno de uma grande árvore"
1418,VERDADEIRO,a group of people standing around a table . a group of people standing around a table with a cake . a group of men standing around a table with a cake .,um grupo de pessoas ao redor de uma mesa. um grupo de pessoas em volta de uma mesa com um bolo. um grupo de homens em volta de uma mesa com um bolo
1419,VERDADEIRO,a person holding a cell phone in their hand . a person holding a cell phone in their hand a person holding a cell phone in front of a laptop .,"Uma pessoa segurando um celular em suas mãos. uma pessoa segurando um celular na mão, uma pessoa segurando um celular na frente de um laptop"
1421,VERDADEIRO,a sign that is on the side of a building . a sign that is on top of a pole . a sign that is on a pole in front of a building .,Um sinal que está do lado de um prédio. Um sinal que está em cima de um poste. Um sinal que está em um poste na frente de um prédio
1422,VERDADEIRO,a man in a suit and tie standing in a field . a man in a suit and tie standing in a forest . a man in a suit and tie is smiling,Um homem de terno e gravata de pé no campo. Um homem de terno e gravata parado em uma floresta. Um homem de terno e gravata está sorrindo
